Mag,tsu,count,year
7.430769230769231,7.124999999999999,4.0,1900.0
7.13125,7.3999999999999995,9.0,1901.0
7.155555555555555,6.9399999999999995,5.0,1902.0
7.226666666666666,6.5,2.0,1903.0
7.41764705882353,7.800000000000002,5.0,1904.0
7.178260869565217,6.875000000000001,8.0,1905.0
7.320000000000001,7.542857142857144,7.0,1906.0
7.27058823529412,6.914285714285714,7.0,1907.0
7.191666666666666,6.780000000000001,5.0,1908.0
7.020833333333333,7.442857142857142,7.0,1909.0
7.078947368421052,6.5249999999999995,4.0,1910.0
6.894117647058823,7.340000000000001,5.0,1911.0
7.372727272727272,7.099999999999999,3.0,1912.0
7.178947368421053,7.2,6.0,1913.0
6.943749999999999,7.26,5.0,1914.0
7.171428571428571,6.960000000000001,5.0,1915.0
7.252380952380953,6.666666666666667,3.0,1916.0
6.9772727272727275,7.155555555555555,9.0,1917.0
7.4399999999999995,7.377777777777776,9.0,1918.0
7.08,7.366666666666667,6.0,1919.0
6.945454545454544,7.279999999999999,5.0,1920.0
6.769999999999999,7.066666666666666,3.0,1921.0
6.981249999999999,7.0,7.0,1922.0
6.871428571428574,7.118181818181816,11.0,1923.0
6.974999999999999,7.340000000000001,5.0,1924.0
6.605555555555556,6.883333333333333,6.0,1925.0
6.666666666666667,6.216666666666668,6.0,1926.0
6.554999999999998,6.7749999999999995,12.0,1927.0
6.632142857142857,6.5266666666666655,15.0,1928.0
6.9526315789473685,7.214285714285714,7.0,1929.0
6.185185185185186,6.166666666666667,9.0,1930.0
7.033333333333333,7.2555555555555555,9.0,1931.0
6.825,7.116666666666666,6.0,1932.0
6.753846153846154,7.12,5.0,1933.0
7.107692307692308,7.485714285714286,7.0,1934.0
6.561904761904761,7.140000000000001,5.0,1935.0
6.640000000000001,7.4,4.0,1936.0
6.976923076923077,7.5,1.0,1937.0
7.106249999999999,7.308333333333334,12.0,1938.0
6.805882352941176,7.133333333333333,12.0,1939.0
6.615384615384615,6.959999999999999,5.0,1940.0
6.8999999999999995,7.457142857142857,7.0,1941.0
7.015384615384614,7.0,2.0,1942.0
7.090476190476191,8.2,1.0,1943.0
6.885714285714285,8.1,1.0,1944.0
6.771428571428571,7.55,2.0,1945.0
7.270588235294117,7.757142857142857,7.0,1946.0
6.626666666666667,6.975,4.0,1947.0
7.005555555555556,6.9875,8.0,1948.0
7.026315789473684,7.2299999999999995,10.0,1949.0
7.213636363636362,7.290909090909091,11.0,1950.0
6.864285714285715,6.5200000000000005,5.0,1951.0
6.814285714285714,7.76,5.0,1952.0
6.7888888888888905,6.840000000000001,10.0,1953.0
6.533333333333333,6.833333333333333,3.0,1954.0
6.657894736842104,6.866666666666666,6.0,1955.0
6.48695652173913,6.533333333333334,6.0,1956.0
7.18695652173913,7.359999999999999,5.0,1957.0
6.999999999999999,7.116666666666667,6.0,1958.0
6.647619047619047,7.12,5.0,1959.0
6.811111111111111,7.3,10.0,1960.0
6.762499999999999,6.75,6.0,1961.0
6.196875000000001,6.375,8.0,1962.0
6.533333333333333,7.25,8.0,1963.0
6.583333333333333,7.371428571428572,7.0,1964.0
6.680769230769231,7.028571428571428,14.0,1965.0
6.219354838709676,7.357142857142857,7.0,1966.0
6.333333333333332,6.5,8.0,1967.0
6.4789473684210535,6.992857142857142,14.0,1968.0
6.366666666666668,7.185714285714285,7.0,1969.0
6.4645161290322575,6.423076923076922,13.0,1970.0
6.345454545454545,6.923076923076923,13.0,1971.0
6.480769230769231,7.0249999999999995,8.0,1972.0
6.38076923076923,7.185714285714286,7.0,1973.0
6.338095238095238,6.957142857142858,7.0,1974.0
6.5233333333333325,7.044444444444444,9.0,1975.0
6.576470588235295,7.44,5.0,1976.0
6.45,7.250000000000001,8.0,1977.0
6.4,6.858333333333334,12.0,1978.0
6.367647058823529,6.866666666666667,9.0,1979.0
5.924242424242424,6.816666666666667,6.0,1980.0
